Date,Hour,Minute,Generator,Dispatch,Dispatch DA,Headroom,Unit State,Unit Cost,Unit Market Revenue,Unit Uplift Payment
2035-01-01,0,0,1,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,2,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,3,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,4,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,5,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,6,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,7,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,8,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,10,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,11,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,12,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,13,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,14,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,15,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,16,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,18,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,25,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,26,459.0,459.0,1071.0,True,6293.740202,3552.606808,0.0
2035-01-01,0,0,27,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,28,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,44,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,45,54.9,54.9,0.0,True,1428.522996,1522.702469,0.0
2035-01-01,0,0,47,60.0,60.0,0.0,True,1377.081965,1664.155704,0.0
2035-01-01,0,0,48,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,49,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,50,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,51,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,54,1152.8,1152.8,0.0,True,27649.746653,53908.353638,0.0
2035-01-01,0,0,60,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,61,60.3,60.3,1.0,True,1433.436912,1096.684477,0.0
2035-01-01,0,0,62,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,66,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,70,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,71,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,72,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,73,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,75,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,76,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,85,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,93,1705.741728,1705.713753,1002.858272,True,11814.267737,14556.833295,0.0
2035-01-01,0,0,94,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,98,150.0,150.0,0.0,True,3527.613025,3607.097312,0.0
2035-01-01,0,0,100,246.602594,247.63057,372.097406,True,5772.315605,5622.854805,0.0
2035-01-01,0,0,105,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,107,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,108,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,112,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,114,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,118,225.0,225.0,0.0,True,5465.310741,20005.688596,0.0
2035-01-01,0,0,121,1097.4,1097.4,0.0,True,26798.541409,51517.362275,0.0
2035-01-01,0,0,122,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,124,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,129,0.0,0.0,0.0,False,0.0,0.0,0.0
